caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,programa_id,programa_desc,finalidad_id,finalidad_desc,funcion_id,funcion_desc,inciso_id,inciso_desc,principal_id,principal_desc,clasificador_economico_2_digitos_id,clasificador_economico_2_digitos_desc,clasificador_economico_3_digitos_id,clasificador_economico_3_digitos_desc,fuente_financiamiento_id,fuente_financiamiento_desc,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,ultima_actualizacion_fecha,ejercicio_presupuestario
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"134256,643149","50526,60505423","50526,60505423","47984,77723962",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"34670,929743","14751,72474164","14751,72474164","13649,51382907",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,5,Asistencia social al personal,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"169,827108","136,69394942","122,719437","122,719437",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,8,Personal contratado,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"3003,6","1590,00215625","1590,00215625","1590,00215625",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,1,"Productos alimenticios, agropecuarios y forestales",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"360,8","153,75051747","43,54922647","17,57594847",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,2,Textiles y vestuario,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,80,"7,25392972","7,25392972","7,09344472",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,3,"Productos de papel, cartón e impresos",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,240,"89,01816647","58,53643047","53,51931047",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,4,Productos de cuero y caucho,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,30,"10,28034","10,28034",0,Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,5,"Productos químicos, combustibles y lubricantes",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"546,2","117,09397298","116,89497298","116,89497298",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,6,Productos de minerales no metálicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,11,"7,5826242","5,0286242","4,9256242",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,7,Productos metálicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,27,"8,22046995","4,9870076","4,9770076",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,8,Minerales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,1,"0,25783105","0,03283105","0,03283105",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,9,Otros bienes de consumo,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,884,"95,68258486","84,65863906","81,09058819",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,1,Servicios básicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"1865,392","349,36361095","296,40964318","283,82782747",Última actualización del ejercicio 2026: 06 Mayo 2026.,2026
